Enligh_Noun,Japanese_Noun
today,kyou - きょう
tomorrow,ashita - あした
yesterday,kinou - きのう
sunday,nichi youbi - にちようび
monday,getsu youbi - げつようび
tuesday,ka youbi - かようび
wednesday,sui youbi - すいようび
thursday,moku youbi - もくようび
friday,kin youbi - きにょうび
saturday,do youbi - どようび
day,nichi/hi - にち・ひ
week,shuu - しゅう
month,getsu - げつ
year,toshi/nen - とし・ねん
second,byou - びょう
minute,fun - ふん
hour,jikan - じかん
morning,asa - あさ
afternoon,hiru - ひる
night,yoru - よる
now,ima - いま
before,mae - まえ
later,ato - あと
car,kuruma - くるま
vehicle,norimono - のりもの
ship,fune - ふね
train,densha - でんしゃ
subway,chikatetsu - ちかてつ
bus,basu - バス
automobile,jidousha - じどうしゃ
taxi,takushii - タクシー
bicycle,jitensha - じてんしゃ
ferry,ferii - フェリー
bullet train,shinkansen - しんかんせん
truck,torakku - トラック
stroller,bebiikaa - ベビーカー
airplane,hikouki - ひこうき
ticket,kippu - きっぷ
up,ue - うえ
down,shita - した
left,hidari - ひだり
right,migi - みぎ
in front,mae - まえ
behind,ushiro - うしろ
inside,naka - なか
outside,soto - そと
north,kita - きた
south,minami - みなみ
east,higashi - ひがし
west,nishi - にし
god,kami - かみ
body,karada - からだ
hair,kami - かみ
hair (head),kami no ke - かみのけ
head,atama - あたま
face,kao - かお
eye,me - め
nose,hana - はな
mouth,kuchi - くち
ear,mimi - みみ
arm,ude - うで
chest,mune - むね
abdomen,hara - はら
butt,oshiri - おしり
leg/foot,ashi - あし
finger,yubi - ゆび
doctor,isha - いしゃ
lawyer,bengoshi - べんごし
teacher,sensei - せんせい
office worker,sarariiman - サラリーマン
student,gakusei - がくせい
cook,ryourinin - りょうりにん
store worker,teninsha - てんいんしゃ
police officer,keisatsu - けいさつ
nurse,kangoshi - かんごし
store,mise - みせ
school,gakkou - かっこう
room,heya - へや
kitchen,daidokoro - だいどころ
bathroom,otearai - おてあらい
station,eki - えき
bus stop,basunoriba - バスのりば
house,ie/uchi - いえ・うち
hospital,byouin - びょういん
city,shi - し
town,machi - まち
countryside,inaka - いなか
family,kazoku - かぞく
mother,haha/okaasan - はは・おかあさん
father,chichi/otousan - ちち・おとうさん
child,kodomo - こども
brother (older),ani/oniisan - あに・おにいさん
sister (older),ane/oneesan - あね・おねえさん
grandmother,obaasan - おばあさん
grandfather,ojiisan - おじいさん
daughter,musume - むすめ
son,musuko - むすこ
brother (younger),otouto - おとうと
sister (younger),imouto - いもうと
season,kisetsu - きせつ
